# Dependencies for design1041
# Analyse and report dependencies of modules.

# Summary Information
# Timestamp	Sun Apr 24 08:52:35 NZST 2022
# Tool	mete-analysis(dependencies):20170202T1945
# System	design1041
# Codebase	./../grad006-03/design1041/design1041

# Attribute Descriptions
# 1	Source	The name of the module the dependency is from.
# 2	Package	The package the source module belongs to. Provided for convenience as it is part of the source name
# 3	Kind	Modules are classified into 1 of 5 'Kinds': Class, Interface, Enum, Annotation, Exception. 
# 4	Modifiers	The modifiers for the source module (comma separated).
# 5	Target	The name of the module the dependency is to.
# 6	Package	The package the target module belongs to. Provided for convenience as it is part of the target name
# 7	Kind	Modules are classified into 1 of 5 'Kinds': Class, Interface, Enum, Annotation, Exception. 
# 8	Category	Dependencies are classified according to what kind of dependency they represent.
# 9	Area	Classification of the area of the source module the dependency originates from.
# 10	Details	More details of the origin of the dependency. Typically formatted text.
# 11	Locations	Even more details of the origin of the dependency. Typically formatted text.
# 12	Target	Information about the target of the dependency within the target module, if such makes sense.
# 13	Visibility	The degree to which the dependency is visible outside the source module
# 14	Inheritance	In what way is the dependency due to inheritance (if it is)

# Data
# Source	Package	Kind	Modifiers	Target	Package	Kind	Category	Area	Details	Locations	Target	Visibility	Inheritance
kalah.Board	kalah	Class	public	int*		Primitive	Return	Method	kalah.Board#public int getPlayer() {}		To whole module	Public	None
kalah.Board	kalah	Class	public	kalah.Board	kalah	Class	Get	Method	kalah.Board#public int getPlayer() {}	1	kalah.Board#private int playerTurn	Private	None
kalah.Board	kalah	Class	public	boolean*		Primitive	Return	Method	kalah.Board#public boolean isGameOver() {}		To whole module	Public	None
kalah.Board	kalah	Class	public	int*		Primitive	Local	Method	kalah.Board#public boolean isGameOver() {}	0,1	To whole module	Private	None
kalah.Board	kalah	Class	public	kalah.Row	kalah	Class	InvokeInstance	Method	kalah.Board#public boolean isGameOver() {}	3	kalah.Row#public int[] getHouses() {}	Private	None
kalah.Board	kalah	Class	public	kalah.Board	kalah	Class	Get	Method	kalah.Board#public boolean isGameOver() {}	2	kalah.Board#private int playerTurn	Private	None
kalah.Board	kalah	Class	public	kalah.Board	kalah	Class	Get	Method	kalah.Board#public boolean isGameOver() {}	1	kalah.Board#private final kalah.Row[] rows	Private	None
kalah.Board	kalah	Class	public	com.qualitascorpus.testsupport.IO*?	com.qualitascorpus.testsupport	Unknown	Parameter	Method	kalah.Board#public void printState(com.qualitascorpus.testsupport.IO) {}	0	To whole module	Public	None
kalah.Board	kalah	Class	public	void*		Primitive	Return	Method	kalah.Board#public void printState(com.qualitascorpus.testsupport.IO) {}		To whole module	Public	None
kalah.Board	kalah	Class	public	int*		Primitive	Local	Method	kalah.Board#public void printState(com.qualitascorpus.testsupport.IO) {}	0,1,2	To whole module	Private	None
kalah.Board	kalah	Class	public	kalah.Row	kalah	Class	InvokeInstance	Method	kalah.Board#public void printState(com.qualitascorpus.testsupport.IO) {}	4	kalah.Row#public int[] getHouses() {}	Private	None
kalah.Board	kalah	Class	public	kalah.Row	kalah	Class	InvokeInstance	Method	kalah.Board#public void printState(com.qualitascorpus.testsupport.IO) {}	6	kalah.Row#public int getStore() {}	Private	None
kalah.Board	kalah	Class	public	print.BoardPrinter	print	Class	InvokeInstance	Method	kalah.Board#public void printState(com.qualitascorpus.testsupport.IO) {}	8	print.BoardPrinter#public abstract void printState(com.qualitascorpus.testsupport.IO,int[][],int[]) <>	Private	None
kalah.Board	kalah	Class	public	print.TwoPlayerBoardPrinter	print	Class	InvokeInstance	Method	kalah.Board#public void printState(com.qualitascorpus.testsupport.IO) {}	8	print.TwoPlayerBoardPrinter#public void printState(com.qualitascorpus.testsupport.IO,int[][],int[]) {}	Private	Polymorphic
kalah.Board	kalah	Class	public	kalah.Board	kalah	Class	Get	Method	kalah.Board#public void printState(com.qualitascorpus.testsupport.IO) {}	1,2	kalah.Board#private final int numHouses	Private	None
kalah.Board	kalah	Class	public	kalah.Board	kalah	Class	Get	Method	kalah.Board#public void printState(com.qualitascorpus.testsupport.IO) {}	7	kalah.Board#private final print.BoardPrinter printer	Private	None
kalah.Board	kalah	Class	public	kalah.Board	kalah	Class	Get	Method	kalah.Board#public void printState(com.qualitascorpus.testsupport.IO) {}	3,5	kalah.Board#private final kalah.Row[] rows	Private	None
kalah.Board	kalah	Class	public	com.qualitascorpus.testsupport.IO*?	com.qualitascorpus.testsupport	Unknown	Parameter	Method	kalah.Board#public void printResult(com.qualitascorpus.testsupport.IO) {}	0	To whole module	Public	None
kalah.Board	kalah	Class	public	void*		Primitive	Return	Method	kalah.Board#public void printResult(com.qualitascorpus.testsupport.IO) {}		To whole module	Public	None
kalah.Board	kalah	Class	public	int*		Primitive	Local	Method	kalah.Board#public void printResult(com.qualitascorpus.testsupport.IO) {}	0,1	To whole module	Private	None
kalah.Board	kalah	Class	public	kalah.Board	kalah	Class	InvokeInstance	Method	kalah.Board#public void printResult(com.qualitascorpus.testsupport.IO) {}	1	kalah.Board#public void printState(com.qualitascorpus.testsupport.IO) {}	Private	None
kalah.Board	kalah	Class	public	kalah.Row	kalah	Class	InvokeInstance	Method	kalah.Board#public void printResult(com.qualitascorpus.testsupport.IO) {}	3	kalah.Row#public int getScore() {}	Private	None
kalah.Board	kalah	Class	public	print.BoardPrinter	print	Class	InvokeInstance	Method	kalah.Board#public void printResult(com.qualitascorpus.testsupport.IO) {}	5	print.BoardPrinter#public void printResult(com.qualitascorpus.testsupport.IO,int[]) {}	Private	None
kalah.Board	kalah	Class	public	kalah.Board	kalah	Class	Get	Method	kalah.Board#public void printResult(com.qualitascorpus.testsupport.IO) {}	4	kalah.Board#private final print.BoardPrinter printer	Private	None
kalah.Board	kalah	Class	public	kalah.Board	kalah	Class	Get	Method	kalah.Board#public void printResult(com.qualitascorpus.testsupport.IO) {}	2	kalah.Board#private final kalah.Row[] rows	Private	None
kalah.Board	kalah	Class	public	int*		Primitive	Field	Field	kalah.Board#private static final int NUM_PLAYERS		To whole module	Private	None
kalah.Board	kalah	Class	public	int*		Primitive	Field	Field	kalah.Board#private final int numHouses		To whole module	Private	None
kalah.Board	kalah	Class	public	kalah.Row	kalah	Class	Field	Field	kalah.Board#private final kalah.Row[] rows		To whole module	Private	None
kalah.Board	kalah	Class	public	print.BoardPrinter	print	Class	Field	Field	kalah.Board#private final print.BoardPrinter printer		To whole module	Private	None
kalah.Board	kalah	Class	public	int*		Primitive	Field	Field	kalah.Board#private int playerTurn		To whole module	Private	None
print.BoardPrinter	print	Class	public,abstract	java.lang.Object*	java.lang	Class	Extends	Header			To whole module	Public	None
print.BoardPrinter	print	Class	public,abstract	com.qualitascorpus.testsupport.IO*?	com.qualitascorpus.testsupport	Unknown	Parameter	Method	print.BoardPrinter#public abstract void printState(com.qualitascorpus.testsupport.IO,int[][],int[]) <>	0	To whole module	Public	None
print.BoardPrinter	print	Class	public,abstract	int*		Primitive	Parameter	Method	print.BoardPrinter#public abstract void printState(com.qualitascorpus.testsupport.IO,int[][],int[]) <>	1,2	To whole module	Public	None
print.BoardPrinter	print	Class	public,abstract	void*		Primitive	Return	Method	print.BoardPrinter#public abstract void printState(com.qualitascorpus.testsupport.IO,int[][],int[]) <>		To whole module	Public	None
print.BoardPrinter	print	Class	public,abstract	com.qualitascorpus.testsupport.IO*?	com.qualitascorpus.testsupport	Unknown	Parameter	Method	print.BoardPrinter#public void printResult(com.qualitascorpus.testsupport.IO,int[]) {}	0	To whole module	Public	None
print.BoardPrinter	print	Class	public,abstract	int*		Primitive	Parameter	Method	print.BoardPrinter#public void printResult(com.qualitascorpus.testsupport.IO,int[]) {}	1	To whole module	Public	None
print.BoardPrinter	print	Class	public,abstract	void*		Primitive	Return	Method	print.BoardPrinter#public void printResult(com.qualitascorpus.testsupport.IO,int[]) {}		To whole module	Public	None
print.BoardPrinter	print	Class	public,abstract	int*		Primitive	Local	Method	print.BoardPrinter#public void printResult(com.qualitascorpus.testsupport.IO,int[]) {}	0,1,2,3,5,6	To whole module	Private	None
